PING 10.0.2.22 (10.0.2.22) 56(84) bytes of data.
64 bytes from 10.0.2.22: icmp_seq=448 ttl=63 time=4402 ms
64 bytes from 10.0.2.22: icmp_seq=449 ttl=63 time=4298 ms
64 bytes from 10.0.2.22: icmp_seq=450 ttl=63 time=4193 ms
64 bytes from 10.0.2.22: icmp_seq=451 ttl=63 time=4090 ms
64 bytes from 10.0.2.22: icmp_seq=452 ttl=63 time=3986 ms
64 bytes from 10.0.2.22: icmp_seq=453 ttl=63 time=3882 ms
64 bytes from 10.0.2.22: icmp_seq=454 ttl=63 time=3779 ms
64 bytes from 10.0.2.22: icmp_seq=455 ttl=63 time=3675 ms
64 bytes from 10.0.2.22: icmp_seq=456 ttl=63 time=3573 ms
64 bytes from 10.0.2.22: icmp_seq=457 ttl=63 time=3470 ms
64 bytes from 10.0.2.22: icmp_seq=458 ttl=63 time=3367 ms
64 bytes from 10.0.2.22: icmp_seq=459 ttl=63 time=3264 ms
64 bytes from 10.0.2.22: icmp_seq=460 ttl=63 time=3161 ms
64 bytes from 10.0.2.22: icmp_seq=461 ttl=63 time=3058 ms
64 bytes from 10.0.2.22: icmp_seq=462 ttl=63 time=2956 ms
64 bytes from 10.0.2.22: icmp_seq=463 ttl=63 time=2852 ms
64 bytes from 10.0.2.22: icmp_seq=464 ttl=63 time=2750 ms
64 bytes from 10.0.2.22: icmp_seq=465 ttl=63 time=2646 ms
64 bytes from 10.0.2.22: icmp_seq=466 ttl=63 time=2543 ms
64 bytes from 10.0.2.22: icmp_seq=467 ttl=63 time=2440 ms
64 bytes from 10.0.2.22: icmp_seq=468 ttl=63 time=2337 ms
64 bytes from 10.0.2.22: icmp_seq=469 ttl=63 time=2235 ms
64 bytes from 10.0.2.22: icmp_seq=470 ttl=63 time=2131 ms
64 bytes from 10.0.2.22: icmp_seq=471 ttl=63 time=2028 ms
64 bytes from 10.0.2.22: icmp_seq=472 ttl=63 time=1925 ms
64 bytes from 10.0.2.22: icmp_seq=473 ttl=63 time=1823 ms
64 bytes from 10.0.2.22: icmp_seq=474 ttl=63 time=1720 ms
64 bytes from 10.0.2.22: icmp_seq=475 ttl=63 time=1617 ms
64 bytes from 10.0.2.22: icmp_seq=476 ttl=63 time=1514 ms
64 bytes from 10.0.2.22: icmp_seq=477 ttl=63 time=1411 ms
64 bytes from 10.0.2.22: icmp_seq=478 ttl=63 time=1307 ms
64 bytes from 10.0.2.22: icmp_seq=479 ttl=63 time=1205 ms
64 bytes from 10.0.2.22: icmp_seq=480 ttl=63 time=1102 ms
64 bytes from 10.0.2.22: icmp_seq=481 ttl=63 time=999 ms
64 bytes from 10.0.2.22: icmp_seq=482 ttl=63 time=895 ms
64 bytes from 10.0.2.22: icmp_seq=483 ttl=63 time=791 ms
64 bytes from 10.0.2.22: icmp_seq=484 ttl=63 time=687 ms
64 bytes from 10.0.2.22: icmp_seq=485 ttl=63 time=583 ms
64 bytes from 10.0.2.22: icmp_seq=486 ttl=63 time=478 ms
64 bytes from 10.0.2.22: icmp_seq=487 ttl=63 time=375 ms
64 bytes from 10.0.2.22: icmp_seq=488 ttl=63 time=270 ms
64 bytes from 10.0.2.22: icmp_seq=489 ttl=63 time=167 ms
64 bytes from 10.0.2.22: icmp_seq=490 ttl=63 time=63.6 ms
64 bytes from 10.0.2.22: icmp_seq=491 ttl=63 time=43.2 ms
64 bytes from 10.0.2.22: icmp_seq=492 ttl=63 time=39.2 ms
64 bytes from 10.0.2.22: icmp_seq=493 ttl=63 time=44.1 ms
64 bytes from 10.0.2.22: icmp_seq=494 ttl=63 time=42.0 ms
64 bytes from 10.0.2.22: icmp_seq=495 ttl=63 time=39.7 ms
64 bytes from 10.0.2.22: icmp_seq=496 ttl=63 time=40.2 ms
64 bytes from 10.0.2.22: icmp_seq=497 ttl=63 time=43.7 ms
64 bytes from 10.0.2.22: icmp_seq=498 ttl=63 time=41.7 ms
64 bytes from 10.0.2.22: icmp_seq=499 ttl=63 time=38.7 ms
64 bytes from 10.0.2.22: icmp_seq=500 ttl=63 time=41.8 ms
64 bytes from 10.0.2.22: icmp_seq=501 ttl=63 time=38.2 ms
64 bytes from 10.0.2.22: icmp_seq=502 ttl=63 time=41.8 ms
64 bytes from 10.0.2.22: icmp_seq=503 ttl=63 time=38.4 ms
64 bytes from 10.0.2.22: icmp_seq=504 ttl=63 time=42.6 ms
64 bytes from 10.0.2.22: icmp_seq=505 ttl=63 time=39.6 ms
64 bytes from 10.0.2.22: icmp_seq=506 ttl=63 time=40.5 ms
64 bytes from 10.0.2.22: icmp_seq=507 ttl=63 time=38.9 ms
64 bytes from 10.0.2.22: icmp_seq=508 ttl=63 time=42.7 ms
64 bytes from 10.0.2.22: icmp_seq=509 ttl=63 time=39.4 ms
64 bytes from 10.0.2.22: icmp_seq=510 ttl=63 time=39.1 ms
64 bytes from 10.0.2.22: icmp_seq=511 ttl=63 time=42.6 ms
64 bytes from 10.0.2.22: icmp_seq=512 ttl=63 time=40.2 ms
64 bytes from 10.0.2.22: icmp_seq=513 ttl=63 time=38.1 ms
64 bytes from 10.0.2.22: icmp_seq=514 ttl=63 time=41.6 ms
64 bytes from 10.0.2.22: icmp_seq=515 ttl=63 time=40.8 ms
64 bytes from 10.0.2.22: icmp_seq=516 ttl=63 time=38.7 ms
64 bytes from 10.0.2.22: icmp_seq=517 ttl=63 time=43.1 ms
64 bytes from 10.0.2.22: icmp_seq=518 ttl=63 time=41.3 ms
64 bytes from 10.0.2.22: icmp_seq=519 ttl=63 time=40.1 ms
64 bytes from 10.0.2.22: icmp_seq=520 ttl=63 time=37.9 ms
64 bytes from 10.0.2.22: icmp_seq=521 ttl=63 time=41.2 ms
64 bytes from 10.0.2.22: icmp_seq=522 ttl=63 time=38.1 ms
64 bytes from 10.0.2.22: icmp_seq=523 ttl=63 time=40.3 ms
64 bytes from 10.0.2.22: icmp_seq=524 ttl=63 time=38.3 ms
64 bytes from 10.0.2.22: icmp_seq=525 ttl=63 time=40.6 ms
64 bytes from 10.0.2.22: icmp_seq=526 ttl=63 time=44.1 ms
64 bytes from 10.0.2.22: icmp_seq=527 ttl=63 time=41.0 ms
64 bytes from 10.0.2.22: icmp_seq=528 ttl=63 time=39.8 ms
