PING 10.0.2.22 (10.0.2.22) 56(84) bytes of data.
64 bytes from 10.0.2.22: icmp_seq=186 ttl=63 time=493 ms
64 bytes from 10.0.2.22: icmp_seq=187 ttl=63 time=493 ms
64 bytes from 10.0.2.22: icmp_seq=188 ttl=63 time=464 ms
64 bytes from 10.0.2.22: icmp_seq=189 ttl=63 time=473 ms
64 bytes from 10.0.2.22: icmp_seq=190 ttl=63 time=471 ms
64 bytes from 10.0.2.22: icmp_seq=191 ttl=63 time=470 ms
64 bytes from 10.0.2.22: icmp_seq=192 ttl=63 time=472 ms
64 bytes from 10.0.2.22: icmp_seq=193 ttl=63 time=473 ms
64 bytes from 10.0.2.22: icmp_seq=194 ttl=63 time=464 ms
64 bytes from 10.0.2.22: icmp_seq=195 ttl=63 time=464 ms
64 bytes from 10.0.2.22: icmp_seq=196 ttl=63 time=467 ms
64 bytes from 10.0.2.22: icmp_seq=197 ttl=63 time=467 ms
64 bytes from 10.0.2.22: icmp_seq=198 ttl=63 time=468 ms
64 bytes from 10.0.2.22: icmp_seq=199 ttl=63 time=483 ms
64 bytes from 10.0.2.22: icmp_seq=200 ttl=63 time=482 ms
64 bytes from 10.0.2.22: icmp_seq=201 ttl=63 time=491 ms
64 bytes from 10.0.2.22: icmp_seq=202 ttl=63 time=491 ms
64 bytes from 10.0.2.22: icmp_seq=203 ttl=63 time=490 ms
64 bytes from 10.0.2.22: icmp_seq=204 ttl=63 time=476 ms
64 bytes from 10.0.2.22: icmp_seq=205 ttl=63 time=479 ms
64 bytes from 10.0.2.22: icmp_seq=206 ttl=63 time=469 ms
64 bytes from 10.0.2.22: icmp_seq=207 ttl=63 time=470 ms
64 bytes from 10.0.2.22: icmp_seq=208 ttl=63 time=467 ms
64 bytes from 10.0.2.22: icmp_seq=209 ttl=63 time=469 ms
64 bytes from 10.0.2.22: icmp_seq=210 ttl=63 time=475 ms
64 bytes from 10.0.2.22: icmp_seq=211 ttl=63 time=491 ms
64 bytes from 10.0.2.22: icmp_seq=212 ttl=63 time=494 ms
64 bytes from 10.0.2.22: icmp_seq=213 ttl=63 time=492 ms
64 bytes from 10.0.2.22: icmp_seq=214 ttl=63 time=495 ms
64 bytes from 10.0.2.22: icmp_seq=215 ttl=63 time=487 ms
64 bytes from 10.0.2.22: icmp_seq=216 ttl=63 time=471 ms
64 bytes from 10.0.2.22: icmp_seq=217 ttl=63 time=477 ms
64 bytes from 10.0.2.22: icmp_seq=218 ttl=63 time=475 ms
64 bytes from 10.0.2.22: icmp_seq=219 ttl=63 time=477 ms
64 bytes from 10.0.2.22: icmp_seq=220 ttl=63 time=477 ms
64 bytes from 10.0.2.22: icmp_seq=221 ttl=63 time=480 ms
64 bytes from 10.0.2.22: icmp_seq=222 ttl=63 time=471 ms
64 bytes from 10.0.2.22: icmp_seq=223 ttl=63 time=474 ms
64 bytes from 10.0.2.22: icmp_seq=224 ttl=63 time=474 ms
64 bytes from 10.0.2.22: icmp_seq=225 ttl=63 time=472 ms
64 bytes from 10.0.2.22: icmp_seq=226 ttl=63 time=475 ms
64 bytes from 10.0.2.22: icmp_seq=227 ttl=63 time=479 ms
64 bytes from 10.0.2.22: icmp_seq=228 ttl=63 time=485 ms
