PING 10.0.2.22 (10.0.2.22) 56(84) bytes of data.
64 bytes from 10.0.2.22: icmp_seq=154 ttl=63 time=8.48 ms
64 bytes from 10.0.2.22: icmp_seq=155 ttl=63 time=8.79 ms
64 bytes from 10.0.2.22: icmp_seq=156 ttl=63 time=14.1 ms
64 bytes from 10.0.2.22: icmp_seq=157 ttl=63 time=9.62 ms
64 bytes from 10.0.2.22: icmp_seq=158 ttl=63 time=16.8 ms
64 bytes from 10.0.2.22: icmp_seq=159 ttl=63 time=12.7 ms
64 bytes from 10.0.2.22: icmp_seq=160 ttl=63 time=10.7 ms
64 bytes from 10.0.2.22: icmp_seq=161 ttl=63 time=16.1 ms
64 bytes from 10.0.2.22: icmp_seq=162 ttl=63 time=7.55 ms
64 bytes from 10.0.2.22: icmp_seq=163 ttl=63 time=14.9 ms
64 bytes from 10.0.2.22: icmp_seq=165 ttl=63 time=11.1 ms
64 bytes from 10.0.2.22: icmp_seq=166 ttl=63 time=14.1 ms
64 bytes from 10.0.2.22: icmp_seq=167 ttl=63 time=8.34 ms
64 bytes from 10.0.2.22: icmp_seq=168 ttl=63 time=16.8 ms
64 bytes from 10.0.2.22: icmp_seq=169 ttl=63 time=15.1 ms
64 bytes from 10.0.2.22: icmp_seq=170 ttl=63 time=12.2 ms
64 bytes from 10.0.2.22: icmp_seq=171 ttl=63 time=8.88 ms
64 bytes from 10.0.2.22: icmp_seq=172 ttl=63 time=11.5 ms
64 bytes from 10.0.2.22: icmp_seq=173 ttl=63 time=8.85 ms
64 bytes from 10.0.2.22: icmp_seq=174 ttl=63 time=5.54 ms
64 bytes from 10.0.2.22: icmp_seq=175 ttl=63 time=14.6 ms
64 bytes from 10.0.2.22: icmp_seq=176 ttl=63 time=12.8 ms
64 bytes from 10.0.2.22: icmp_seq=177 ttl=63 time=15.3 ms
64 bytes from 10.0.2.22: icmp_seq=178 ttl=63 time=14.3 ms
64 bytes from 10.0.2.22: icmp_seq=179 ttl=63 time=6.63 ms
64 bytes from 10.0.2.22: icmp_seq=180 ttl=63 time=15.7 ms
64 bytes from 10.0.2.22: icmp_seq=181 ttl=63 time=5.82 ms
64 bytes from 10.0.2.22: icmp_seq=182 ttl=63 time=14.0 ms
64 bytes from 10.0.2.22: icmp_seq=183 ttl=63 time=12.8 ms
64 bytes from 10.0.2.22: icmp_seq=184 ttl=63 time=9.67 ms
64 bytes from 10.0.2.22: icmp_seq=185 ttl=63 time=7.81 ms
64 bytes from 10.0.2.22: icmp_seq=186 ttl=63 time=9.83 ms
64 bytes from 10.0.2.22: icmp_seq=187 ttl=63 time=9.12 ms
64 bytes from 10.0.2.22: icmp_seq=188 ttl=63 time=10.6 ms
64 bytes from 10.0.2.22: icmp_seq=189 ttl=63 time=7.79 ms
64 bytes from 10.0.2.22: icmp_seq=190 ttl=63 time=16.4 ms
64 bytes from 10.0.2.22: icmp_seq=191 ttl=63 time=11.0 ms
64 bytes from 10.0.2.22: icmp_seq=192 ttl=63 time=8.49 ms
64 bytes from 10.0.2.22: icmp_seq=193 ttl=63 time=8.80 ms
64 bytes from 10.0.2.22: icmp_seq=194 ttl=63 time=13.9 ms
64 bytes from 10.0.2.22: icmp_seq=196 ttl=63 time=11.9 ms
64 bytes from 10.0.2.22: icmp_seq=197 ttl=63 time=15.7 ms
64 bytes from 10.0.2.22: icmp_seq=198 ttl=63 time=8.67 ms
64 bytes from 10.0.2.22: icmp_seq=199 ttl=63 time=15.3 ms
64 bytes from 10.0.2.22: icmp_seq=200 ttl=63 time=70.0 ms
64 bytes from 10.0.2.22: icmp_seq=201 ttl=63 time=55.4 ms
64 bytes from 10.0.2.22: icmp_seq=202 ttl=63 time=51.8 ms
64 bytes from 10.0.2.22: icmp_seq=203 ttl=63 time=49.2 ms
64 bytes from 10.0.2.22: icmp_seq=204 ttl=63 time=33.7 ms
64 bytes from 10.0.2.22: icmp_seq=205 ttl=63 time=78.8 ms
64 bytes from 10.0.2.22: icmp_seq=206 ttl=63 time=63.9 ms
64 bytes from 10.0.2.22: icmp_seq=207 ttl=63 time=36.7 ms
64 bytes from 10.0.2.22: icmp_seq=208 ttl=63 time=32.2 ms
64 bytes from 10.0.2.22: icmp_seq=209 ttl=63 time=53.2 ms
64 bytes from 10.0.2.22: icmp_seq=210 ttl=63 time=38.4 ms
